"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"49",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.186025,0.4519395,1.18580852,1.24840475,1.12617825,1.183755,0.4429695,1.184013485,1.24304075,1.12492625
"50",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.269835,0.441794,1.270089475,1.3380605,1.2053725,1.257085,0.43508,1.257260325,1.3182545,1.19754
"51",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.23085,0.4474555,1.230486845,1.29454025,1.1678385,1.24041,0.4452985,1.2410934025,1.30398575,1.1775345
"52",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.274045,0.447812,1.27392449,1.317781,1.22939975,1.27241,0.438986,1.272566495,1.31426675,1.2303055
"53",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.26131,0.468248,1.2617335525,1.3064625,1.21683925,1.258025,0.4704915,1.25843194,1.30486,1.21447725
"54",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.287965,0.4891545,1.287609915,1.33560125,1.238771,1.29159,0.492396,1.2916153,1.33918075,1.2450595
"55",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.251715,0.49614,1.2514702375,1.30040075,1.20094925,1.23757,0.480477,1.23762077,1.28306225,1.19260925
"56",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.239365,0.505629,1.239587275,1.2890115,1.19032925,1.26234,0.4909975,1.2623389675,1.30923525,1.21483825
"57",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.30173,0.4786195,1.30179403,1.35083075,1.25256725,1.295405,0.4653045,1.2955895625,1.340742,1.2479565
"58",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.2908,0.468311,1.2908115775,1.335257,1.245616,1.3062,0.474459,1.3060933325,1.35395475,1.25907975
"59",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.28315,0.464114,1.2833979425,1.32856875,1.2380795,1.274135,0.4662645,1.274096895,1.3186115,1.228596
"60",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.2764,0.492546,1.2765308075,1.32323125,1.23031825,1.256555,0.479861,1.256459775,1.3007765,1.2107675
"61",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.31603,0.4748675,1.316343295,1.36279225,1.269998,1.34648,0.4735535,1.3462188425,1.39088125,1.29983925
"62",1,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.27689,0.4543835,1.2769050675,1.3094405,1.24527,1.2778,0.4583245,1.277803845,1.311081,1.24532475
"63",2,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.287985,0.4589755,1.287877065,1.31961025,1.25588925,1.2828,0.4491985,1.28272149,1.31332475,1.252928
"64",3,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.3069,0.484044,1.3068181125,1.342081,1.271617,1.2952,0.476416,1.29485233,1.32856,1.25976775
"65",4,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.28994,0.472751,1.28994188,1.321795,1.25775725,1.27861,0.481745,1.278655565,1.31034,1.24634925
"66",5,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.266475,0.452739,1.266595755,1.2989905,1.23303875,1.28155,0.451223,1.281620445,1.315092,1.24676725
"67",6,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.27756,0.4722505,1.27737796,1.3083305,1.24707675,1.275,0.484005,1.27495071,1.308171,1.242418
"68",7,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.29306,0.476283,1.2929384275,1.326714,1.2580895,1.295685,0.4786875,1.295709505,1.32911325,1.2609385
"69",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.270575,0.4876805,1.2708690075,1.3061015,1.236148,1.28169,0.482602,1.28202867,1.31794125,1.24772925
"70",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.28032,0.4764665,1.280137335,1.31289525,1.24744975,1.26641,0.4729955,1.2665708525,1.29719075,1.236318
"71",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.279885,0.483085,1.279648075,1.3150905,1.243149,1.283535,0.480599,1.28319448,1.31892225,1.24719975
"72",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.242605,0.451516,1.24341841,1.36451125,1.12686625,1.23162,0.4591505,1.23212512325,1.3496805,1.10977975
"73",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.288025,0.4011245,1.286825295,1.405482,1.16170225,1.315365,0.3846305,1.31536071,1.428162,1.20346525
"74",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.25856,0.439651,1.2598641125,1.379525,1.14159875,1.231565,0.427121,1.2312123875,1.3427225,1.1201635
"75",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.226175,0.505124,1.227083905,1.36345175,1.09841875,1.23482,0.496517,1.23449122925,1.36068325,1.10238325
"76",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.407445,0.4315705,1.4050727,1.535634,1.260618,1.408315,0.426501,1.4077606275,1.538946,1.26973925
"77",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.30183,0.4448635,1.3023913325,1.43614725,1.17498375,1.31678,0.4623535,1.31740576425,1.454761,1.18249525
"78",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.19676,0.511642,1.19573070425,1.34988375,1.04530975,1.20011,0.5325955,1.2004423005,1.35933325,1.0380125
"79",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.23655,0.4331895,1.23698118,1.3638,1.11254325,1.211095,0.4117225,1.2116465175,1.327668,1.09795175
"80",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.226965,0.4375515,1.226050012,1.34449525,1.1013605,1.20609,0.458504,1.20615875025,1.3355895,1.07452075
"81",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.218365,0.5180095,1.218842508,1.350041,1.08743625,1.212995,0.535714,1.2136528675,1.3619225,1.06600975
"82",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.24643,0.4817195,1.247392055,1.335972,1.161129,1.225615,0.49566,1.225283595,1.32053575,1.132548
"83",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.321425,0.489557,1.321732455,1.41241775,1.2306205,1.313735,0.484568,1.31216827,1.401131,1.2211985
"84",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.21283,0.474916,1.212987085,1.306074,1.12203975,1.21075,0.4795515,1.20952010025,1.2989305,1.115453
"85",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.33774,0.4189635,1.3372710625,1.4251415,1.24517225,1.34487,0.453872,1.343578335,1.4448965,1.2386685
"86",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.26045,0.462508,1.26006836,1.34969375,1.168179,1.25272,0.464733,1.2528646975,1.35056,1.1573755
"87",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.243095,0.46251,1.2428013775,1.33474025,1.15158825,1.23597,0.458622,1.2364589225,1.32810475,1.14536175
"88",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.23219,0.430306,1.2325204975,1.308755,1.15415375,1.22802,0.4316905,1.2285065,1.308045,1.150907
"89",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.31949,0.5139975,1.3189838,1.4311465,1.20768525,1.355775,0.510143,1.3548635875,1.4644405,1.24445
"90",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.23701,0.488529,1.2380741675,1.33152175,1.14810675,1.229495,0.5156285,1.22975226,1.33373275,1.1288285
"91",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,4,2,2,40,FALSE,FALSE,1.36486,0.425157,1.3650234625,1.4509925,1.2775565,1.359115,0.4368215,1.3592990975,1.45306775,1.2657145
"92",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.288965,0.4911055,1.288505985,1.35828,1.21578925,1.28014,0.492837,1.28049122,1.35230575,1.20941925
"93",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.26268,0.4780435,1.2625557325,1.33275025,1.19427875,1.24845,0.4924455,1.248604645,1.3260035,1.171696
"94",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.207125,0.4660195,1.208235015,1.27440475,1.14264175,1.19526,0.476046,1.1949434575,1.26211125,1.12644825
"95",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.24837,0.470125,1.2485297325,1.3147405,1.1838985,1.229385,0.463058,1.229180095,1.28829025,1.1679075
"96",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.269085,0.459702,1.269371815,1.33144175,1.2091385,1.25665,0.4639765,1.2565334425,1.31765475,1.194118
"97",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.26275,0.433173,1.262968675,1.32341,1.20415175,1.28737,0.432812,1.2875850375,1.3490305,1.2236665
"98",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.3,0.4862365,1.3003802425,1.3764715,1.22415125,1.31036,0.4751725,1.31048441,1.3799505,1.24057925
"99",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.24852,0.481186,1.2484093675,1.3210305,1.17524925,1.244695,0.4865925,1.2448070075,1.31725125,1.1725155
"100",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.258755,0.5053285,1.25917769,1.32894075,1.1907095,1.258985,0.502527,1.2588074425,1.32949225,1.18770875
"101",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,8,2,2,80,FALSE,FALSE,1.26162,0.469959,1.2620635825,1.327752,1.1969135,1.29319,0.479954,1.2933522825,1.3618275,1.22531
"102",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.293595,0.462128,1.29357694,1.34065025,1.246879,1.27042,0.4572985,1.2700788425,1.316743,1.22658
"103",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,16,2,2,160,FALSE,FALSE,1.256805,0.4516725,1.2568502675,1.29910075,1.2146195,1.21911,0.464601,1.218902805,1.2645145,1.1721785
