"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"53",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.22007085,0.47941471,1.2169387422325,1.352818205,1.05594744,1.0573762,0.51653977,1.0581885609725,1.2235713375,0.89846923575
"54",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.0057996,0.519395505,1.0053900805175,1.192150415,0.79953450875,1.15739845,0.4614353,1.157308386905,1.3069511175,1.01028213
"55",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.34818765,0.5137526,1.35189977485,1.49543499,1.2207893,1.2266588,0.6195338,1.225997954925,1.4144115975,1.0437510625
"56",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.2663299,0.46399486,1.2620999299,1.3826975625,1.127987375,1.25454955,0.436786225,1.2538918891,1.35613689,1.1500660225
"57",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.21942545,0.430490685,1.2229707302725,1.38678216,1.08168244,1.32182895,0.411215335,1.32229323165,1.4681002625,1.1733014675
"58",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.22411705,0.5140649,1.22028066648,1.38729744,1.0257867575,1.274343,0.43604164,1.273606046,1.40607834,1.1438837875
"59",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.29276145,0.52880087,1.296069128225,1.4453589675,1.1641460625,1.2378337,0.57881761,1.237949443535,1.3898611725,1.089047565
"60",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.3790201,0.524454705,1.378642322575,1.55202676,1.20075693,1.4539818,0.530856115,1.453356323625,1.635263905,1.2722352425
"61",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.1489395,0.443535445,1.150135399445,1.305188815,1.0054113175,1.19100065,0.448539155,1.1920873492625,1.3379149975,1.04278962
"62",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2827283,0.48932568,1.282712679,1.426415435,1.139249915,1.2683723,0.50358605,1.2692452729325,1.4155937125,1.1160317
"63",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2237518,0.46732483,1.22501273255,1.3491104625,1.1020241625,1.23262085,0.48183137,1.2317012949425,1.36397786,1.1001434075
"64",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2047175,0.457920365,1.20582660293,1.3325479125,1.08766997,1.19110705,0.49160526,1.1917448725325,1.3361705375,1.04986385
"65",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.23616775,0.53038362,1.23748218076,1.3936493325,1.0934089125,1.2380339,0.544388315,1.237435291525,1.39907786,1.07361701
"66",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2654505,0.432685715,1.26496014486,1.3876329625,1.1420739975,1.2841941,0.433357635,1.28415092333,1.4152116675,1.153997
"67",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.16746395,0.46343176,1.168580676045,1.311124265,1.0314375125,1.16859615,0.4679468,1.16823295348,1.3140155225,1.02182509
"68",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.153707,0.44695032,1.15341540479,1.26565512,1.0315169175,1.16725835,0.459762215,1.1671004976325,1.28900273,1.043031525
"69",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.32252435,0.510028475,1.32350896035,1.4666927225,1.1862433475,1.31470695,0.522474425,1.31518621165,1.466144595,1.16872141
"70",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.2141519,0.500466985,1.2134963408675,1.3392200275,1.0889832,1.19051535,0.509650475,1.1898200325925,1.316811975,1.0549329925
"71",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,FALSE,1.42432325,0.542119265,1.424977680875,1.5815360125,1.2744578225,1.4151167,0.562841555,1.415679317425,1.58011959,1.2511542625
"72",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.3146733,0.493374685,1.315720007625,1.4508091,1.17847973,1.30327155,0.4942786,1.3029014671,1.4389051925,1.1661789025
"73",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.27702245,0.418094265,1.276810980975,1.3975131025,1.16399863,1.2734627,0.4203212,1.27318434435,1.3946795875,1.1544229775
"74",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.31411795,0.48136562,1.314552753625,1.42644834,1.2039347,1.30105555,0.4732708,1.30084073065,1.412729685,1.1917542925
"75",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.1137539,0.528229085,1.1135565444375,1.2924749825,0.93727684775,1.1216931,0.5357102,1.1209900655,1.3079701075,0.93074184525
"76",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.1888609,0.497365885,1.1900346576575,1.3362300225,1.0406332,1.1868567,0.50272142,1.18716431273,1.33887333,1.037225645
"77",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.2224334,0.429082805,1.223331008775,1.3484976625,1.0976800075,1.2339431,0.430596945,1.233600865035,1.3588757125,1.1088644975
"78",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.18767265,0.477276145,1.1872843875075,1.310581425,1.0678295025,1.1802992,0.491513635,1.179970355845,1.305500015,1.048415455
"79",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.14424955,0.529991815,1.1430497798325,1.2873792025,0.99640913525,1.13523095,0.52829867,1.134385365535,1.283076175,0.990599644
"80",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.37415535,0.52422977,1.373207746725,1.5296620925,1.2173188875,1.3820983,0.52188761,1.3831760762,1.5466567525,1.2240384575
"81",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,20,20,FALSE,FALSE,1.2737075,0.523155595,1.274306684025,1.4074161525,1.1388564825,1.27982245,0.519910325,1.2799549013,1.418355,1.145298465
"82",1,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.12875575,0.532978605,1.13122957468075,1.747219895,0.44796822075,1.59412105,0.29060229,1.5769648884425,1.8799003825,1.179140825
"83",2,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.2589912,0.506665985,1.295901583275,1.8098434,0.98073197,1.26978305,0.69331592,1.2686370268375,1.7865679825,0.726815372
"84",3,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,0.944046885,0.634584125,0.919782909706725,1.5083352625,0.2273407125,1.23831985,0.441193105,1.2322931364575,1.58638832,0.8725539355
"85",4,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.1088127,0.48823488,1.0942196247275,1.4047627,0.72548017925,1.19254505,0.221662275,1.1931304347,1.2692590375,1.11721247
"86",5,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.25733415,0.53309565,1.27129515641,1.693262025,0.94370278125,1.0933629,0.73265765,1.09304144213,1.5968069925,0.56938530475
"87",6,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.26230075,0.517428775,1.2127217552065,1.7988730225,0.416531312,1.49265305,0.50913242,1.4619547893375,2.04208255,0.72390165725
"88",7,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.0245471,0.66194323,0.99839529414275,1.361825735,0.50995659925,1.2419597,0.51836845,1.2433051263325,1.4919644775,0.9992264845
"89",8,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.3585348,0.538715765,1.34731608577225,1.734541255,0.88137684025,1.1411844,0.671035,1.14051199303,1.68085182,0.6194332215
"90",9,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.3584051,0.410408225,1.3585734731775,1.6014033,1.127142135,1.28887585,0.45957057,1.28345365325,1.6020645,0.93887443725
"91",10,5,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,0.1,20,FALSE,FALSE,1.21206245,0.405401725,1.1891800370885,1.46643823,0.734132932,1.26857465,0.42421725,1.26660640931,1.556120525,0.97999209
