"","replicate","n_infectors","alpha_mean","phi_alpha","true_mean_gi","true_logmean_gi","true_sdlog_gi","R0","phi_ind_C","phi_C","C_bar","vary_ind_infectiousness","vary_ind_contact_rate","logmean_median","logsd_median","logmean_mean","logmean_upper_95","logmean_lower_95","logmean_median_po","logsd_median_po","logmean_mean_po","logmean_upper_95_po","logmean_lower_95_po"
"49",8,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.197125,0.5463035,1.197137495,1.3085645,1.088617,1.153005,0.5477705,1.15327247,1.266378,1.04819475
"50",9,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.24648,0.4587585,1.246197575,1.33041275,1.15688,1.23937,0.466851,1.23969876,1.32790425,1.1512185
"51",10,50,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.25523,0.4486985,1.2552924575,1.33943525,1.17042975,1.269575,0.4439375,1.2695204225,1.35369025,1.18288925
"52",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.263595,0.492492,1.262709105,1.3724945,1.1437685,1.31694,0.453303,1.3177356075,1.4160245,1.21947875
"53",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.18549,0.484279,1.186735989,1.315619,1.06068975,1.230665,0.4581105,1.230589395,1.342524,1.1148985
"54",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.26744,0.5115865,1.2678363875,1.380301,1.15072375,1.22253,0.5536755,1.2220230185,1.35017275,1.087871
"55",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.44417,0.4519295,1.4424920925,1.583871,1.29145725,1.40675,0.4539005,1.40573524,1.552281,1.25657425
"56",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.319615,0.475529,1.32064744875,1.50669,1.138009,1.247,0.4643465,1.24612203625,1.42656275,1.06104275
"57",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.353225,0.370619,1.3511605625,1.45815275,1.23819875,1.36399,0.308529,1.3641570625,1.440172,1.290749
"58",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.284585,0.497662,1.2867800725,1.471521,1.10874675,1.233825,0.541488,1.23308156125,1.44600475,1.01870025
"59",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.231745,0.4860415,1.233305055,1.36790125,1.10413875,1.29202,0.5006245,1.292639965,1.42258525,1.16500975
"60",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.00632,0.3834035,1.00855637375,1.21454925,0.8161889,1.114105,0.344923,1.114566257,1.2743665,0.960001275
"61",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,0.1,2,20,FALSE,TRUE,1.313635,0.5543315,1.31264213425,1.46155125,1.161377,1.360185,0.5421455,1.3606482375,1.5026555,1.21897975
"62",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.28026,0.539262,1.27986626075,1.42590125,1.128667,1.22831,0.5381825,1.22844096025,1.3759535,1.08278925
"63",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.256595,0.4281965,1.25733312,1.35315075,1.16382825,1.312685,0.4174425,1.3122814225,1.40162525,1.2225425
"64",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.17323,0.5368835,1.17480131175,1.33300125,1.01868,1.17879,0.5377315,1.1772304975,1.3404345,1.014199
"65",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.255465,0.426327,1.2554437825,1.37723175,1.13698325,1.233435,0.4261275,1.23394352925,1.35194575,1.116846
"66",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.29968,0.4262615,1.2984362925,1.41366025,1.18594125,1.31889,0.413302,1.317577735,1.4254175,1.20734425
"67",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.19681,0.499723,1.1968576385,1.36083325,1.0356355,1.17278,0.4906075,1.17331637975,1.33464,1.014182
"68",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.15972,0.390238,1.15784612225,1.26852875,1.0457655,1.125905,0.390137,1.12553212025,1.23146975,1.0199075
"69",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.28272,0.4335885,1.2811316075,1.4037945,1.15513975,1.304695,0.4409355,1.30459007,1.4365235,1.173715
"70",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.24324,0.5104785,1.242967795,1.36130125,1.12800925,1.19279,0.496434,1.1923301165,1.30577775,1.0744085
"71",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,2,2,20,FALSE,TRUE,1.171925,0.52406,1.172118928,1.330572,1.0228855,1.137045,0.5328875,1.13649081225,1.3001825,0.9749926
"72",1,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.18459,0.4228315,1.1832999875,1.2906435,1.07228875,1.19948,0.436066,1.20038613775,1.319999,1.07658975
"73",2,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.304625,0.4702995,1.30417572,1.436394,1.17032975,1.29105,0.4909555,1.289731588,1.42516275,1.15001725
"74",3,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.275275,0.5185765,1.2772991575,1.42203225,1.13390525,1.288985,0.5070775,1.2893255325,1.4313475,1.1490615
"75",4,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.179975,0.4538535,1.180879282,1.3380925,1.02678925,1.21034,0.456099,1.209861818,1.36825025,1.0536665
"76",5,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.27958,0.5680835,1.2788099525,1.44175475,1.114606,1.267635,0.555189,1.26679128975,1.427303,1.1073025
"77",6,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.4205,0.4981825,1.419226215,1.57685025,1.25722,1.41788,0.482344,1.4173867775,1.5630015,1.268116
"78",7,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.389745,0.490479,1.3892739325,1.5265065,1.2547495,1.35841,0.490986,1.35787174,1.497706,1.21859925
"79",8,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.31677,0.5759515,1.317843135,1.45590075,1.18101375,1.314195,0.5965225,1.314332613,1.466033,1.16379275
"80",9,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.310715,0.418384,1.3109194775,1.44946,1.18193425,1.32269,0.4424795,1.32341366,1.47127525,1.1765425
"81",10,25,0.1,0.1,4,1.27472258546279,0.472380727077439,2,20,2,20,FALSE,TRUE,1.388185,0.479344,1.3869484425,1.53274075,1.24131025,1.38523,0.4747395,1.3845954,1.51934325,1.2397725
